CUSTOMER_ID|ACTION|AMOUNT|TIMESTAMP
test|DEPOSIT|5000.00|2025-04-04 17:20:01
test|BALANCE|10000.00|2025-04-04 17:23:22
test|WITHDRAW|5000.00|2025-04-04 17:23:35
test|DEPOSIT|10000.00|2025-04-04 17:23:50
test|BALANCE|15000.00|2025-04-04 17:23:57
test|DEPOSIT|50000.00|2025-04-04 17:53:56
test|DEPOSIT|1000000.00|2025-04-04 17:54:24
test2|DEPOSIT|50000.00|2025-04-04 17:57:03
test|DEPOSIT|51515151.00|2025-04-04 17:57:27
test|WITHDRAW|3213121.00|2025-04-04 17:57:36
test|WITHDRAW|3232123.00|2025-04-04 17:57:42
test|WITHDRAW|23333.00|2025-04-04 17:57:46
test|BALANCE|46111574.00|2025-04-04 17:57:54
test|WITHDRAW|1.00|2025-04-04 17:58:11
test|BALANCE|46111573.00|2025-04-04 17:58:15
test|WITHDRAW|23123.00|2025-04-04 17:58:29
test|BALANCE|46088450.00|2025-04-04 17:58:38
test|WITHDRAW|4608855.00|2025-04-04 17:58:54
test|BALANCE|41479595.00|2025-04-04 17:58:59
test|WITHDRAW|41479595.00|2025-04-04 17:59:26
test|BALANCE|0.00|2025-04-04 17:59:30
test2|DEPOSIT|50000.00|2025-04-04 17:59:50
